"Passenger rail transport by type of transport"

"Total"	"Passenger kilometres (millions)"	"Finland"	..	..	..	..	..	..	..	..	..	..	..	..	3331	3230	3057	3007	3037	3184	3254	3376	3377	3415	3405	3282	3318	3338	3352	3478	3540	3778	4052	3876	3959	3882	4035	4053	3874	4113	3868	4271	..
"Total"	"Passenger kilometres (millions)"	"France"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	58603	58928	55563	59773	61573	64186	66298	69571	71209	73227	71385	74014	76159	79483	81664	84782	87538	87231	91304	91205	90485	89499	91377	90612	96690	..
"Total"	"Passenger kilometres (millions)"	"Georgia"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1000	1032	371	380	294	397	355	453	401	401	396	614	713	808	773	674	626	654	641	625	585	550	465	545	..	..
"Total"	"Passenger kilometres (millions)"	"Germany"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	58003	61333	61489	61537	59345	59184	72822	74015	73899	69848	..	..	..	75640	79098	81764	80746	82830	84628	88794	89451	90827	91603	94197	95530	..
"Total"	"Passenger kilometres (millions)"	"Greece"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1726	1399	1568	1751	1884	1552	1583	1886	1747	1836	1574	1668	1854	1811	1930	1657	1414	..	958	832	1056	1072	1263	1192	1112	..
"Total"	"Passenger kilometres (millions)"	"Hungary"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8432	8508	8441	8582	8669	8884	9514	9693	10005	10531	10285	10548	9474	..	8752	8293	8073	7692	7806	7806	7843	7738	7609	7653	7731	..
"Total"	"Passenger kilometres (millions)"	"Ireland"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1274	1260	1291	1295	1387	1421	1458	1389	1515	..	..	..	1781	..	2007	1976	1815	1809	1776	1722	1718	1663	2096	2173	2306	..
"Total"	"Passenger kilometres (millions)"	"Israel"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	214	231	268	294	346	382	529	781	961	1160	..	..	..	..	..	..	2011	1986	1927	2133	..	..	..	..	2765	..
"Total"	"Passenger kilometres (millions)"	"Italy"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	43859	44782	43591	41392	43424	47133	46752	45957	..	45577	46144	46439	45985	45767	44404	43349	39368	45753	47707	48881	51120	52178	..	..
"Total"	"Passenger kilometres (millions)"	"Kazakhstan"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	20507	17362	13159	14188	12802	10668	8859	10215	10384	10449	..	..	..	..	..	..	14702	16056	16575	19256	20625	18999	17012	17914	..	..
"Total"	"Passenger kilometres (millions)"	"Kyrgyzstan"	..	..	..	..	..	..	..	..	..	..	..	..	205	200	235	295	172	87	92	93	59	31	44	50	43	50	45	46	62	60	90	..	99	83	76	..	..	..	..	..	..
"Total"	"Passenger kilometres (millions)"	"Latvia"	..	..	..	..	..	..	..	..	..	..	..	..	5366	3930	3656	2359	1794	1256	1149	1154	1059	984	715	706	744	762	806	889	986	975	941	747	741	733	717	721	644	591	584	596	624
"Total"	"Passenger kilometres (millions)"	"Lithuania"	..	..	..	..	..	..	..	..	..	..	..	..	3640	3225	2740	2700	1574	1130	953	842	800	745	611	533	498	432	283	280	268	210	258	231	244	269	278	278	270	262	280	315	354
"Total"	"Passenger kilometres (millions)"	"Luxembourg"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	267	298	233	345	333	347	349	373	394	366	418	..	..	..
"Total"	"Passenger kilometres (millions)"	"Montenegro"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	81	91	65	62	73	76	81	84	60	..
"Total"	"Passenger kilometres (millions)"	"Netherlands"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14788	14439	13977	14091	..	..	..	..	..	..	..	..	14730	..	..	..	16847	16968	16582	16842	18730	17961	18338	18531	18438	..
